País,Ano,Quantidade (Kg),Valor_USD
Alemanha,1984,586645,564129
Alemanha,1985,1069717,1122438
Alemanha,1986,2357113,3008737
Alemanha,1987,1307519,1863924
Alemanha,1988,2029271,2757417
Alemanha,1989,2885143,4074739
Alemanha,1990,3342223,5875679
Alemanha,1991,3096425,4545305
Alemanha,1992,2515557,3644055
Alemanha,1993,5721360,7155615
Alemanha,1994,11047710,16068528
Alemanha,1995,11919346,19758144
Alemanha,1996,8680860,10629243
Alemanha,1997,4867017,5108215
Alemanha,1998,3014081,4834030
Alemanha,1999,2576557,4539354
Alemanha,2000,1164724,1668539
Alemanha,2001,909077,1169872
Alemanha,2002,759712,829695
Alemanha,2003,573198,629664
Alemanha,2004,420075,550750
Alemanha,2005,253685,382599
Alemanha,2006,314749,634870
Alemanha,2007,234006,647626
Alemanha,2008,293935,1063825
Alemanha,2009,56075,291876
Alemanha,2010,192661,784674
Alemanha,2011,198025,933545
Alemanha,2012,113243,591167
Alemanha,2013,114866,414070
Alemanha,2014,115804,483316
Alemanha,2015,95171,358275
Alemanha,2016,158386,606333
Alemanha,2017,83289,315959
Alemanha,2018,142971,516975
Alemanha,2019,101055,412794
Alemanha,2020,136992,504168
Alemanha,2021,106541,546967
Alemanha,2022,92600,438595
Alemanha,2023,102456,557947
Alemanha,2024,121002,805466
Argentina,1970,19525,12260
Argentina,1971,24942,15022
Argentina,1972,104906,58137
Argentina,1973,116887,76121
Argentina,1974,215930,167473
Argentina,1975,145823,90855
Argentina,1976,348653,277507
Argentina,1977,408399,395615
Argentina,1978,614134,709813
Argentina,1979,646978,888941
Argentina,1980,298471,479464
Argentina,1981,131738,209173
Argentina,1982,191972,264487
Argentina,1983,132634,188625
Argentina,1984,42438,64603
Argentina,1985,114570,164424
Argentina,1986,170413,242678
Argentina,1987,98854,136841
Argentina,1988,414931,590758
Argentina,1989,716062,1153585
Argentina,1990,455774,721398
Argentina,1991,852441,1493649
Argentina,1992,444896,815668
Argentina,1993,359542,795068
Argentina,1994,446315,730091
Argentina,1995,1397904,1992083
Argentina,1996,779008,1438076
Argentina,1997,1013306,2089559
Argentina,1998,1295190,3073775
Argentina,1999,2475780,5284871
Argentina,2000,2724941,6556544
Argentina,2001,2585537,6196286
Argentina,2002,3867336,6894469
Argentina,2003,5720024,9653634
Argentina,2004,10202602,17142493
Argentina,2005,10845213,21623751
Argentina,2006,11939727,25822840
Argentina,2007,15621172,36160548
Argentina,2008,14417761,37382581
Argentina,2009,13902750,38521731
Argentina,2010,16965266,52126581
Argentina,2011,16673491,58806736
Argentina,2012,14613839,55633562
Argentina,2013,12732815,49524694
Argentina,2014,13437321,53815956
Argentina,2015,12465041,48043201
Argentina,2016,14098009,45214862
Argentina,2017,15461740,51770842
Argentina,2018,15221318,52817642
Argentina,2019,16548931,54527380
Argentina,2020,22610267,66322932
Argentina,2021,26869241,79527959
Argentina,2022,27980574,87519642
Argentina,2023,25276991,83918138
Argentina,2024,26272478,93869579
Argélia,1970,0,0
Argélia,1971,0,0
Argélia,1972,0,0
Argélia,1973,0,0
Argélia,1974,0,0
Argélia,1975,0,0
Argélia,1976,0,0
Argélia,1977,0,0
Argélia,1978,0,0
Argélia,1979,0,0
Argélia,1980,0,0
Argélia,1981,0,0
Argélia,1982,0,0
Argélia,1983,0,0
Argélia,1984,0,0
Argélia,1985,0,0
Argélia,1986,0,0
Argélia,1987,0,0
Argélia,1988,0,0
Argélia,1989,0,0
Argélia,1990,0,0
Argélia,1991,0,0
Argélia,1992,0,0
Argélia,1993,0,0
Argélia,1994,0,0
Argélia,1995,0,0
Argélia,1996,0,0
Argélia,1997,0,0
Argélia,1998,0,0
Argélia,1999,0,0
Argélia,2000,0,0
Argélia,2001,0,0
Argélia,2002,0,0
Argélia,2003,0,0
Argélia,2004,0,0
Argélia,2005,0,0
Argélia,2006,0,0
Argélia,2007,0,0
Argélia,2008,0,0
Argélia,2009,0,0
Argélia,2010,0,0
Argélia,2011,0,0
Argélia,2012,0,0
Argélia,2013,0,0
Argélia,2014,0,0
Argélia,2015,0,0
Argélia,2016,0,43
Argélia,2017,0,0
Argélia,2018,0,0
Argélia,2019,0,0
Argélia,2020,0,0
Argélia,2021,0,0
Argélia,2022,0,0
Argélia,2023,0,0
Argélia,2024,0,0
Armênia,1970,0,0
Armênia,1971,0,0
Armênia,1972,0,0
Armênia,1973,0,0
Armênia,1974,0,0
Armênia,1975,0,0
Armênia,1976,0,0
Armênia,1977,0,0
Armênia,1978,0,0
Armênia,1979,0,0
Armênia,1980,0,0
Armênia,1981,0,0
Armênia,1982,0,0
Armênia,1983,0,0
Armênia,1984,0,0
Armênia,1985,0,0
Armênia,1986,0,0
Armênia,1987,0,0
Armênia,1988,0,0
Armênia,1989,0,0
Armênia,1990,0,0
Armênia,1991,0,0
Armênia,1992,0,0
Armênia,1993,0,0
Armênia,1994,0,0
Armênia,1995,0,0
Armênia,1996,0,0
Armênia,1997,0,0
Armênia,1998,0,0
Armênia,1999,0,0
Armênia,2000,0,0
Armênia,2001,0,0
Armênia,2002,0,0
Armênia,2003,0,0
Armênia,2004,0,0
Armênia,2005,0,0
Armênia,2006,0,0
Armênia,2007,0,0
Armênia,2008,0,0
Armênia,2009,0,0
Armênia,2010,0,0
Armênia,2011,0,0
Armênia,2012,0,0
Armênia,2013,0,0
Armênia,2014,0,0
Armênia,2015,0,0
Armênia,2016,0,0
Armênia,2017,0,0
Armênia,2018,0,0
Armênia,2019,0,0
Armênia,2020,0,0
Armênia,2021,0,0
Armênia,2022,2385,13668
Armênia,2023,3542,24336
Armênia,2024,0,0
Arábia Saudita,1970,0,0
Arábia Saudita,1971,0,0
Arábia Saudita,1972,0,0
Arábia Saudita,1973,0,0
Arábia Saudita,1974,0,0
Arábia Saudita,1975,0,0
Arábia Saudita,1976,0,0
Arábia Saudita,1977,0,0
Arábia Saudita,1978,0,0
Arábia Saudita,1979,0,0
Arábia Saudita,1980,0,0
Arábia Saudita,1981,0,0
Arábia Saudita,1982,0,0
Arábia Saudita,1983,0,0
Arábia Saudita,1984,0,0
Arábia Saudita,1985,0,0
Arábia Saudita,1986,0,0
Arábia Saudita,1987,0,0
Arábia Saudita,1988,0,0
Arábia Saudita,1989,0,0
Arábia Saudita,1990,0,0
Arábia Saudita,1991,0,0
Arábia Saudita,1992,0,0
Arábia Saudita,1993,0,0
Arábia Saudita,1994,0,0
Arábia Saudita,1995,0,0
Arábia Saudita,1996,0,0
Arábia Saudita,1997,0,0
Arábia Saudita,1998,0,0
Arábia Saudita,1999,0,0
Arábia Saudita,2000,0,0
Arábia Saudita,2001,0,0
Arábia Saudita,2002,0,0
Arábia Saudita,2003,0,0
Arábia Saudita,2004,0,0
Arábia Saudita,2005,0,0
Arábia Saudita,2006,0,0
Arábia Saudita,2007,0,0
Arábia Saudita,2008,0,0
Arábia Saudita,2009,0,0
Arábia Saudita,2010,0,0
Arábia Saudita,2011,0,0
Arábia Saudita,2012,0,0
Arábia Saudita,2013,0,0
Arábia Saudita,2014,0,0
Arábia Saudita,2015,0,0
Arábia Saudita,2016,0,43
Arábia Saudita,2017,0,0
Arábia Saudita,2018,563,3249
Arábia Saudita,2019,0,0
Arábia Saudita,2020,0,0
Arábia Saudita,2021,2510,8761
Arábia Saudita,2022,0,0
Arábia Saudita,2023,8,161
Arábia Saudita,2024,0,0
Austrália,1970,0,0
Austrália,1971,0,0
Austrália,1972,0,0
Austrália,1973,0,0
Austrália,1974,0,0
Austrália,1975,0,0
Austrália,1976,0,0
Austrália,1977,0,0
Austrália,1978,0,0
Austrália,1979,0,0
Austrália,1980,0,0
Austrália,1981,0,0
Austrália,1982,0,0
Austrália,1983,0,0
Austrália,1984,0,0
Austrália,1985,0,0
Austrália,1986,0,0
Austrália,1987,0,0
Austrália,1988,0,0
Austrália,1989,0,0
Austrália,1990,0,0
Austrália,1991,0,0
Austrália,1992,0,0
Austrália,1993,0,0
Austrália,1994,0,0
Austrália,1995,0,0
Austrália,1996,0,0
Austrália,1997,0,0
Austrália,1998,0,0
Austrália,1999,0,0
Austrália,2000,130097,446892
Austrália,2001,179310,636740
Austrália,2002,148916,446693
Austrália,2003,126441,344316
Austrália,2004,192539,561291
Austrália,2005,324162,901226
Austrália,2006,254407,1059677
Austrália,2007,363611,1583361
Austrália,2008,215135,1248671
Austrália,2009,270908,998680
Austrália,2010,405271,1864846
Austrália,2011,824440,2811273
Austrália,2012,615334,2474783
Austrália,2013,553190,1703815
Austrália,2014,236742,1008851
Austrália,2015,395030,1261810
Austrália,2016,498515,1537834
Austrália,2017,354641,1246545
Austrália,2018,3518,21664
Austrália,2019,16292,1214643
Austrália,2020,212595,792051
Austrália,2021,366875,1383093
Austrália,2022,579279,1590059
Austrália,2023,432829,1568550
Austrália,2024,422720,1437842
Bermudas,1970,0,0
Bermudas,1971,0,0
Bermudas,1972,0,0
Bermudas,1973,0,0
Bermudas,1974,0,0
Bermudas,1975,0,0
Bermudas,1976,0,0
Bermudas,1977,0,0
Bermudas,1978,0,0
Bermudas,1979,0,0
Bermudas,1980,0,0
Bermudas,1981,0,0
Bermudas,1982,0,0
Bermudas,1983,0,0
Bermudas,1984,0,0
Bermudas,1985,0,0
Bermudas,1986,0,0
Bermudas,1987,0,0
Bermudas,1988,0,0
Bermudas,1989,0,0
Bermudas,1990,0,0
Bermudas,1991,0,0
Bermudas,1992,0,0
Bermudas,1993,0,0
Bermudas,1994,0,0
Bermudas,1995,0,0
Bermudas,1996,0,0
Bermudas,1997,0,0
Bermudas,1998,0,0
Bermudas,1999,0,0
Bermudas,2000,0,0
Bermudas,2001,0,0
Bermudas,2002,0,0
Bermudas,2003,0,0
Bermudas,2004,0,0
Bermudas,2005,0,0
Bermudas,2006,0,0
Bermudas,2007,0,0
Bermudas,2008,0,0
Bermudas,2009,0,0
Bermudas,2010,0,0
Bermudas,2011,0,0
Bermudas,2012,0,0
Bermudas,2013,0,0
Bermudas,2014,0,0
Bermudas,2015,0,0
Bermudas,2016,0,0
Bermudas,2017,0,0
Bermudas,2018,0,0
Bermudas,2019,0,0
Bermudas,2020,0,0
Bermudas,2021,10,141
Bermudas,2022,1,4
Bermudas,2023,6,879
Bermudas,2024,0,0
Bolívia,1970,0,0
Bolívia,1971,0,0
Bolívia,1972,0,0
Bolívia,1973,0,0
Bolívia,1974,0,0
Bolívia,1975,0,0
Bolívia,1976,0,0
Bolívia,1977,0,0
Bolívia,1978,0,0
Bolívia,1979,0,0
Bolívia,1980,0,0
Bolívia,1981,0,0
Bolívia,1982,0,0
Bolívia,1983,0,0
Bolívia,1984,0,0
Bolívia,1985,0,0
Bolívia,1986,0,0
Bolívia,1987,0,0
Bolívia,1988,0,0
Bolívia,1989,0,0
Bolívia,1990,0,0
Bolívia,1991,0,0
Bolívia,1992,0,0
Bolívia,1993,0,0
Bolívia,1994,0,0
Bolívia,1995,0,0
Bolívia,1996,0,0
Bolívia,1997,0,0
Bolívia,1998,0,0
Bolívia,1999,0,0
Bolívia,2000,0,0
Bolívia,2001,0,0
Bolívia,2002,0,0
Bolívia,2003,0,0
Bolívia,2004,0,0
Bolívia,2005,0,0
Bolívia,2006,0,0
Bolívia,2007,540,1348
Bolívia,2008,0,0
Bolívia,2009,0,0
Bolívia,2010,0,0
Bolívia,2011,0,0
Bolívia,2012,0,0
Bolívia,2013,0,0
Bolívia,2014,0,0
Bolívia,2015,0,0
Bolívia,2016,0,0
Bolívia,2017,0,0
Bolívia,2018,0,0
Bolívia,2019,0,0
Bolívia,2020,0,0
Bolívia,2021,0,0
Bolívia,2022,0,0
Bolívia,2023,1170,10920
Bolívia,2024,0,0
Brasil,1970,0,0
Brasil,1971,0,0
Brasil,1972,0,0
Brasil,1973,0,0
Brasil,1974,0,0
Brasil,1975,0,0
Brasil,1976,0,0
Brasil,1977,0,0
Brasil,1978,0,0
Brasil,1979,0,0
Brasil,1980,0,0
Brasil,1981,0,0
Brasil,1982,0,0
Brasil,1983,0,0
Brasil,1984,0,0
Brasil,1985,0,0
Brasil,1986,0,0
Brasil,1987,0,0
Brasil,1988,0,0
Brasil,1989,0,0
Brasil,1990,0,0
Brasil,1991,0,0
Brasil,1992,0,0
Brasil,1993,0,0
Brasil,1994,0,0
Brasil,1995,0,0
Brasil,1996,0,0
Brasil,1997,0,0
Brasil,1998,0,0
Brasil,1999,0,0
Brasil,2000,0,0
Brasil,2001,0,0
Brasil,2002,0,0
Brasil,2003,0,0
Brasil,2004,2088,16212
Brasil,2005,3007,20041
Brasil,2006,2930,12527
Brasil,2007,3513,19633
Brasil,2008,309,1769
Brasil,2009,0,0
Brasil,2010,7,232
Brasil,2011,93,1164
Brasil,2012,1051,15016
Brasil,2013,473,5747
Brasil,2014,449,6011
Brasil,2015,1359,12919
Brasil,2016,183,2127
Brasil,2017,845617,260135
Brasil,2018,18040,121806
Brasil,2019,29295,246008
Brasil,2020,4347,41213
Brasil,2021,12602,39816
Brasil,2022,1,5
Brasil,2023,6229,76894
Brasil,2024,71637,147179
Bulgária,1970,0,0
Bulgária,1971,0,0
Bulgária,1972,0,0
Bulgária,1973,0,0
Bulgária,1974,0,0
Bulgária,1975,0,0
Bulgária,1976,0,0
Bulgária,1977,0,0
Bulgária,1978,0,0
Bulgária,1979,0,0
Bulgária,1980,0,0
Bulgária,1981,0,0
Bulgária,1982,0,0
Bulgária,1983,0,0
Bulgária,1984,0,0
Bulgária,1985,0,0
Bulgária,1986,0,0
Bulgária,1987,0,0
Bulgária,1988,0,0
Bulgária,1989,0,0
Bulgária,1990,0,0
Bulgária,1991,0,0
Bulgária,1992,0,0
Bulgária,1993,0,0
Bulgária,1994,0,0
Bulgária,1995,0,0
Bulgária,1996,0,0
Bulgária,1997,0,0
Bulgária,1998,0,0
Bulgária,1999,0,0
Bulgária,2000,0,0
Bulgária,2001,0,0
Bulgária,2002,0,0
Bulgária,2003,0,0
Bulgária,2004,0,0
Bulgária,2005,0,0
Bulgária,2006,0,0
Bulgária,2007,0,0
Bulgária,2008,0,0
Bulgária,2009,0,0
Bulgária,2010,20997,94727
Bulgária,2011,1097,2527
Bulgária,2012,0,0
Bulgária,2013,5947,21988
Bulgária,2014,15019,46857
Bulgária,2015,17244,51678
Bulgária,2016,17777,55253
Bulgária,2017,35284,68234
Bulgária,2018,16166,17550
Bulgária,2019,10944,9915
Bulgária,2020,23110,58319
Bulgária,2021,34185,105623
Bulgária,2022,29929,43221
Bulgária,2023,40281,95232
Bulgária,2024,25718,62739
Bélgica,1970,0,0
Bélgica,1971,0,0
Bélgica,1972,0,0
Bélgica,1973,0,0
Bélgica,1974,0,0
Bélgica,1975,0,0
Bélgica,1976,0,0
Bélgica,1977,0,0
Bélgica,1978,0,0
Bélgica,1979,0,0
Bélgica,1980,0,0
Bélgica,1981,0,0
Bélgica,1982,0,0
Bélgica,1983,0,0
Bélgica,1984,0,0
Bélgica,1985,0,0
Bélgica,1986,0,0
Bélgica,1987,0,0
Bélgica,1988,0,0
Bélgica,1989,0,0
Bélgica,1990,0,0
Bélgica,1991,0,0
Bélgica,1992,20700,30575
Bélgica,1993,882,1391
Bélgica,1994,0,0
Bélgica,1995,0,0
Bélgica,1996,0,0
Bélgica,1997,13791,95375
Bélgica,1998,9363,40899
Bélgica,1999,5550,23433
Bélgica,2000,0,0
Bélgica,2001,0,0
Bélgica,2002,0,0
Bélgica,2003,0,0
Bélgica,2004,0,0
Bélgica,2005,0,0
Bélgica,2006,0,0
Bélgica,2007,0,0
Bélgica,2008,0,0
Bélgica,2009,0,0
Bélgica,2010,0,0
Bélgica,2011,0,0
Bélgica,2012,0,0
Bélgica,2013,0,0
Bélgica,2014,0,0
Bélgica,2015,0,0
Bélgica,2016,7,1090
Bélgica,2017,4376,45221
Bélgica,2018,163,1201
Bélgica,2019,7,30
Bélgica,2020,0,0
Bélgica,2021,0,0
Bélgica,2022,0,0
Bélgica,2023,0,0
Bélgica,2024,0,0
Bósnia-Herzegovina,1970,0,0
Bósnia-Herzegovina,1971,0,0
Bósnia-Herzegovina,1972,0,0
Bósnia-Herzegovina,1973,0,0
Bósnia-Herzegovina,1974,0,0
Bósnia-Herzegovina,1975,0,0
Bósnia-Herzegovina,1976,0,0
Bósnia-Herzegovina,1977,0,0
Bósnia-Herzegovina,1978,0,0
Bósnia-Herzegovina,1979,0,0
Bósnia-Herzegovina,1980,0,0
Bósnia-Herzegovina,1981,0,0
Bósnia-Herzegovina,1982,0,0
Bósnia-Herzegovina,1983,0,0
Bósnia-Herzegovina,1984,0,0
Bósnia-Herzegovina,1985,0,0
Bósnia-Herzegovina,1986,0,0
Bósnia-Herzegovina,1987,0,0
Bósnia-Herzegovina,1988,0,0
Bósnia-Herzegovina,1989,0,0
Bósnia-Herzegovina,1990,0,0
Bósnia-Herzegovina,1991,0,0
Bósnia-Herzegovina,1992,0,0
Bósnia-Herzegovina,1993,0,0
Bósnia-Herzegovina,1994,0,0
Bósnia-Herzegovina,1995,0,0
Bósnia-Herzegovina,1996,0,0
Bósnia-Herzegovina,1997,0,0
Bósnia-Herzegovina,1998,0,0
Bósnia-Herzegovina,1999,0,0
Bósnia-Herzegovina,2000,0,0
Bósnia-Herzegovina,2001,0,0
Bósnia-Herzegovina,2002,0,0
Bósnia-Herzegovina,2003,0,0
Bósnia-Herzegovina,2004,0,0
Bósnia-Herzegovina,2005,0,0
Bósnia-Herzegovina,2006,0,0
Bósnia-Herzegovina,2007,0,0
Bósnia-Herzegovina,2008,0,0
Bósnia-Herzegovina,2009,0,0
Bósnia-Herzegovina,2010,0,0
Bósnia-Herzegovina,2011,0,0
Bósnia-Herzegovina,2012,0,0
Bósnia-Herzegovina,2013,0,0
Bósnia-Herzegovina,2014,0,0
Bósnia-Herzegovina,2015,0,0
Bósnia-Herzegovina,2016,0,0
Bósnia-Herzegovina,2017,0,0
Bósnia-Herzegovina,2018,0,0
Bósnia-Herzegovina,2019,0,0
Bósnia-Herzegovina,2020,1218,902
Bósnia-Herzegovina,2021,0,0
Bósnia-Herzegovina,2022,0,0
Bósnia-Herzegovina,2023,0,0
Bósnia-Herzegovina,2024,4883,9862
Canada,1970,0,0
Canada,1971,0,0
Canada,1972,0,0
Canada,1973,0,0
Canada,1974,0,0
Canada,1975,0,0
Canada,1976,0,0
Canada,1977,0,0
Canada,1978,0,0
Canada,1979,0,0
Canada,1980,0,0
Canada,1981,0,0
Canada,1982,0,0
Canada,1983,0,0
Canada,1984,0,0
Canada,1985,0,0
Canada,1986,0,0
Canada,1987,0,0
Canada,1988,0,0
Canada,1989,0,0
Canada,1990,0,0
Canada,1991,0,0
Canada,1992,0,0
Canada,1993,0,0
Canada,1994,0,0
Canada,1995,0,0
Canada,1996,0,0
Canada,1997,0,0
Canada,1998,0,0
Canada,1999,0,0
Canada,2000,0,0
Canada,2001,0,0
Canada,2002,0,0
Canada,2003,0,0
Canada,2004,0,0
Canada,2005,0,0
Canada,2006,0,0
Canada,2007,0,0
Canada,2008,396,30957
Canada,2009,0,0
Canada,2010,0,0
Canada,2011,2322,35032
Canada,2012,0,0
Canada,2013,0,0
Canada,2014,1530,25958
Canada,2015,0,0
Canada,2016,0,0
Canada,2017,0,0
Canada,2018,301,17418
Canada,2019,0,0
Canada,2020,0,0
Canada,2021,0,0
Canada,2022,884,11607
Canada,2023,14,1062
Canada,2024,203,18258
Chile,1970,162370,101819
Chile,1971,74406,52240
Chile,1972,161736,95654
Chile,1973,301559,212140
Chile,1974,550691,429885
Chile,1975,952233,764780
Chile,1976,2175650,1574474
Chile,1977,2593464,1962448
Chile,1978,3742918,3415769
Chile,1979,4235991,4315227
Chile,1980,2568586,3199365
Chile,1981,1647720,2344875
Chile,1982,786016,1124272
Chile,1983,598657,781217
Chile,1984,490217,527176
Chile,1985,1114665,1195151
Chile,1986,1347894,1416109
Chile,1987,914549,1008445
Chile,1988,1240065,1474473
Chile,1989,2020687,2675722
Chile,1990,1530497,2034195
Chile,1991,1424430,1869655
Chile,1992,1073114,1421889
Chile,1993,1633996,2655683
Chile,1994,2347724,3822138
Chile,1995,2622381,4165531
Chile,1996,1964361,3273873
Chile,1997,2951870,5453225
Chile,1998,3203054,6005098
Chile,1999,4312887,8756515
Chile,2000,5559322,12096840
Chile,2001,5160203,11122691
Chile,2002,6200375,11626770
Chile,2003,7955549,16120955
Chile,2004,11134141,22521618
Chile,2005,11647128,25645333
Chile,2006,15194205,36681244
Chile,2007,18845522,47680946
Chile,2008,18662626,50748373
Chile,2009,22476643,61380795
Chile,2010,26434744,72983389
Chile,2011,26642889,84952500
Chile,2012,30258795,93315735
Chile,2013,28288212,90281256
Chile,2014,35479279,113375484
Chile,2015,36686870,107684380
Chile,2016,43400991,123183079
Chile,2017,51787643,145628860
Chile,2018,51104825,144731210
Chile,2019,52697108,145471294
Chile,2020,72726186,176540499
Chile,2021,69617587,182568098
Chile,2022,68881232,184335335
Chile,2023,62358765,170146247
Chile,2024,73111416,199874777
China,1970,0,0
China,1971,0,0
China,1972,0,0
China,1973,0,0
China,1974,0,0
China,1975,0,0
China,1976,0,0
China,1977,0,0
China,1978,0,0
China,1979,0,0
China,1980,0,0
China,1981,0,0
China,1982,0,0
China,1983,0,0
China,1984,0,0
China,1985,0,0
China,1986,0,0
China,1987,0,0
China,1988,0,0
China,1989,0,0
China,1990,0,0
China,1991,0,0
China,1992,0,0
China,1993,0,0
China,1994,0,0
China,1995,0,0
China,1996,0,0
China,1997,0,0
China,1998,0,0
China,1999,0,0
China,2000,0,0
China,2001,0,0
China,2002,0,0
China,2003,0,0
China,2004,0,0
China,2005,0,0
China,2006,22,496
China,2007,459,4235
China,2008,6858,32738
China,2009,0,0
China,2010,0,0
China,2011,0,0
China,2012,0,0
China,2013,0,0
China,2014,0,0
China,2015,0,0
China,2016,108,213
China,2017,1000,613
China,2018,5,472
China,2019,317,2458
China,2020,0,0
China,2021,0,0
China,2022,0,0
China,2023,0,0
China,2024,0,0
"Coreia do Sul, República",1970,0,0
"Coreia do Sul, República",1971,0,0
"Coreia do Sul, República",1972,0,0
"Coreia do Sul, República",1973,0,0
"Coreia do Sul, República",1974,0,0
"Coreia do Sul, República",1975,0,0
"Coreia do Sul, República",1976,0,0
"Coreia do Sul, República",1977,0,0
"Coreia do Sul, República",1978,0,0
"Coreia do Sul, República",1979,0,0
"Coreia do Sul, República",1980,0,0
"Coreia do Sul, República",1981,0,0
"Coreia do Sul, República",1982,0,0
"Coreia do Sul, República",1983,0,0
"Coreia do Sul, República",1984,0,0
"Coreia do Sul, República",1985,0,0
"Coreia do Sul, República",1986,0,0
"Coreia do Sul, República",1987,0,0
"Coreia do Sul, República",1988,0,0
"Coreia do Sul, República",1989,0,0
"Coreia do Sul, República",1990,0,0
"Coreia do Sul, República",1991,0,0
"Coreia do Sul, República",1992,0,0
"Coreia do Sul, República",1993,0,0
"Coreia do Sul, República",1994,0,0
"Coreia do Sul, República",1995,0,0
"Coreia do Sul, República",1996,0,0
"Coreia do Sul, República",1997,0,0
"Coreia do Sul, República",1998,0,0
"Coreia do Sul, República",1999,0,0
"Coreia do Sul, República",2000,0,0
"Coreia do Sul, República",2001,0,0
"Coreia do Sul, República",2002,0,0
"Coreia do Sul, República",2003,0,0
"Coreia do Sul, República",2004,450,560
"Coreia do Sul, República",2005,0,0
"Coreia do Sul, República",2006,800,600
"Coreia do Sul, República",2007,0,0
"Coreia do Sul, República",2008,0,0
"Coreia do Sul, República",2009,0,0
"Coreia do Sul, República",2010,0,0
"Coreia do Sul, República",2011,0,0
"Coreia do Sul, República",2012,0,0
"Coreia do Sul, República",2013,0,0
"Coreia do Sul, República",2014,0,0
"Coreia do Sul, República",2015,0,0
"Coreia do Sul, República",2016,0,0
"Coreia do Sul, República",2017,0,0
"Coreia do Sul, República",2018,0,0
"Coreia do Sul, República",2019,0,0
"Coreia do Sul, República",2020,0,0
"Coreia do Sul, República",2021,0,0
"Coreia do Sul, República",2022,0,0
"Coreia do Sul, República",2023,0,0
"Coreia do Sul, República",2024,0,0
Croácia,1970,0,0
Croácia,1971,0,0
Croácia,1972,0,0
Croácia,1973,0,0
Croácia,1974,0,0
Croácia,1975,0,0
Croácia,1976,0,0
Croácia,1977,0,0
Croácia,1978,0,0
Croácia,1979,0,0
Croácia,1980,0,0
Croácia,1981,0,0
Croácia,1982,0,0
Croácia,1983,0,0
Croácia,1984,0,0
Croácia,1985,0,0
Croácia,1986,0,0
Croácia,1987,0,0
Croácia,1988,0,0
Croácia,1989,0,0
Croácia,1990,0,0
Croácia,1991,0,0
Croácia,1992,0,0
Croácia,1993,0,0
Croácia,1994,0,0
Croácia,1995,0,0
Croácia,1996,0,0
Croácia,1997,0,0
Croácia,1998,0,0
Croácia,1999,0,0
Croácia,2000,0,0
Croácia,2001,0,0
Croácia,2002,0,0
Croácia,2003,0,0
Croácia,2004,0,0
Croácia,2005,0,0
Croácia,2006,0,0
Croácia,2007,0,0
Croácia,2008,0,0
Croácia,2009,0,0
Croácia,2010,0,0
Croácia,2011,450,12388
Croácia,2012,630,16571
Croácia,2013,0,0
Croácia,2014,0,0
Croácia,2015,2069,3779
Croácia,2016,0,0
Croácia,2017,0,0
Croácia,2018,0,0
Croácia,2019,450,2900
Croácia,2020,0,0
Croácia,2021,17343,78954
Croácia,2022,887,35563
Croácia,2023,1107,9160
Croácia,2024,0,0
Cuba,1970,0,0
Cuba,1971,0,0
Cuba,1972,0,0
Cuba,1973,0,0
Cuba,1974,0,0
Cuba,1975,0,0
Cuba,1976,0,0
Cuba,1977,0,0
